DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",authorized advocate upon presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.","Per APN, husband declined to consent for blood draw."
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",at septic shock presentation: patient refusing IV.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient IV access within first hour.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",wife unwilling to treatment after discussion of risks.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",son not willing to HIV blood test - will not consent.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics during initial assessment - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.","Per provider, legal guardian does not want blood cultures."
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics before fluids initiated - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Would not allow IV to be started upon presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving at time of triage.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",authorized advocate would not allow to stay for continued care during initial assessment.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics in the ED - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient refusing arterial blood gas within first hour.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: authorized advocate at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",MD note: patient declined to consent for IV before fluids initiated.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",at septic shock presentation: power of attorney refuses IV antibiotics.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",POA refusing to stay for continued care at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",POA refusing IV fluids despite recommendation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",POA declined IV fluids despite recommendation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",husband refuses antibiotics after explaining benefits.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: patient declined to consent for antibiotics at time of triage.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",authorized advocate at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Refusing all further care at this time.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",son refused lab work - will not consent.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics during initial assessment - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient IV access in the ED.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",at time of triage: family refusing further care.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",during initial assessment: son not willing to labs.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Refusing all labs at this time.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Provider documents refusal of fluids by daughter at time of triage.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",daughter upon presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",MD note: patient at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: family during initial assessment.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",RN documents patient at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient not willing to blood cultures during initial assessment.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",daughter does not want to stay for continued care at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient after discussion at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Would not allow IV to be started within first hour.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",wife not willing to IV fluids and further interventions at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",daughter does not want to stay for continued care at time of triage.
