DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No vasopressor administration documented within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on dopamine drip vasopressor given at presentation at 08:00.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Emergency Department record documents Neo-Synephrine infusing IV at 08:00.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",vasopressin infusing at time of septic shock presentation within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving epinephrine via intraosseous at time of triage - initiated at time of triage.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine infusing at time of septic shock presentation at septic shock presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",IV flow sheet shows norepinephrine initiated intravenous on arrival.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",epinephrine started at on arrival per IV flow sheet - started via IV.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per MAR, dopamine started via IO 2 hours after presentation."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin infusion vasopressor running per IV flow sheet within the specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No vasopressor administration documented within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving epinephrine via intravenous at time of triage - on continuous infusion within the specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per physician note, norepinephrine vasopressor running via intravenous on arrival."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",epinephrine IO vasopressor running within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Neo-Synephrine started at on arrival per Medication Administration Record - infusing via intravenous.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No vasopressor administration documented within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",IV flow sheet shows Neo-Synephrine started intravenous at 08:00.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin intravenous infusing 2 hours after presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",APN note documents phenylephrine infusing IV 2 hours after presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per ambulance record, epinephrine titrating via IO 2 hours after presentation."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per nursing note, patient not on any vasopressors on arrival."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Levophed infusion titrating per physician note 2 hours after presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine started at at time of triage per nursing note - infusing via intraosseous.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No vasopressor administration documented within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",phenylephrine started at 2 hours after presentation per IV flow sheet - titrating via IO.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No documentation of IV or IO vasopressor administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",epinephrine started at within the specified time frame - beyond the six-hour window.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",dopamine infusion titrating per APN note on arrival.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Test dose of Neo-Synephrine administered - not abstracted per guidelines.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",epinephrine IO infusing 2 hours after presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on phenylephrine drip administered at presentation at septic shock presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",vasopressin infusing at time of septic shock presentation within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Physician order for Levophed written but not designated as given - not abstracted.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on norepinephrine drip titrating at presentation within the specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",APN note documents dopamine vasopressor given IV within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin started at at 22:30 per IV flow sheet - infusing via IV.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on vasopressin drip titrating at presentation at 22:30.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No documentation of IV or IO vasopressor administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient received epinephrine but outside specified time frame (after 6 hours).
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin started at at 08:00 per transport record - started via intravenous.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",physician note shows epinephrine ordered but no documentation of administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine started at within the specified time frame per MAR - administered via intravenous.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No documentation of IV or IO vasopressor administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Nursing note: Neo-Synephrine on continuous infusion via IO at time of triage.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Nursing note: Neo-Synephrine titrating via IV at time of triage.
